company,public_private,HQ,revenue_2023_full,revenue_2024_full,revenue_2025_LTM_full,revenue_2023_AI,revenue_2024_AI,revenue_2025_LTM_AI,EV_2023,EV_2024,EV_2025_LTM,confidence_score,sources,high_uncertainty_flag
Nvidia,Public,USA,26974000000,60922000000,95000000000,18000000000,47500000000,80000000000,1200000000000,1500000000000,1800000000000,5,https://investor.nvidia.com/,No
Microsoft,Public,USA,211915000000,236574000000,250000000000,85000000000,105000000000,120000000000,2800000000000,3200000000000,3850000000000,5,https://www.microsoft.com/en-us/investor,No
Oracle,Public,USA,49954000000,52961000000,55000000000,15000000000,20000000000,25000000000,350000000000,400000000000,450000000000,5,https://www.oracle.com/investor/,No
AMD,Public,USA,22680000000,24680000000,28000000000,8000000000,10000000000,14000000000,200000000000,250000000000,300000000000,5,https://ir.amd.com/,No
Intel,Public,USA,63105000000,70700000000,75000000000,15000000000,18000000000,20000000000,200000000000,250000000000,300000000000,5,https://www.intc.com/,No
OpenAI,Private,USA,2000000000,3700000000,12000000000,2000000000,3700000000,12000000000,150000000000,300000000000,300000000000,3,https://en.wikipedia.org/wiki/OpenAI,Yes
CoreWeave,Private,USA,220000000,1900000000,3500000000,220000000,1900000000,3500000000,2800000000,30000000000,70000000000,4,https://assets.multiples.vc/content/CoreWeave-IPO-Valuation-Deep-Dive-March-2025.pdf,Yes
Nebius,Private,Netherlands,50000000,200000000,600000000,50000000,200000000,600000000,15300000000,27610000000,30000000000,4,https://www.reuters.com/technology/ai-cloud-firm-nebius-signs-3-billion-deal-with-meta-posts-more-than-four-fold-2025-11-11/,Yes
xAI,Private,USA,0,500000000,2000000000,0,500000000,2000000000,18000000000,50000000000,50000000000,3,https://www.rothschildandco.com/siteassets/publications/rothschildandco/global_advisory/2025/growth_equity_update/08/global-advisory---growth-equity-update-edition-41.pdf,Yes
Figure AI,Private,USA,0,10000000,50000000,0,10000000,50000000,0,2600000000,5000000000,2,Estimated based on funding rounds,Yes
Mistral,Private,France,0,50000000,200000000,0,50000000,200000000,0,6000000000,8000000000,3,Estimated based on funding rounds,Yes
Nscale,Private,USA,0,5000000,20000000,0,5000000,20000000,0,500000000,1000000000,2,Estimated based on funding rounds,Yes
Anysphere,Private,USA,0,20000000,80000000,0,20000000,80000000,0,1000000000,2000000000,2,Estimated based on funding rounds,Yes
Ambience Healthcare,Private,USA,0,30000000,100000000,0,30000000,100000000,0,300000000,500000000,2,Estimated based on funding rounds,Yes
Harvey AI,Private,USA,0,20000000,80000000,0,20000000,80000000,0,500000000,1000000000,2,Estimated based on funding rounds,Yes

