source,target,relationship_type,annual_value_2025_ltm,total_contract_value,citation,confidence_score,notes
Microsoft,OpenAI,equity_investment,0,13000000000,https://en.wikipedia.org/wiki/OpenAI,5,Cumulative investment over multiple rounds
Microsoft,Nebius,cloud_contract,3480000000,17400000000,https://www.reuters.com/business/nebius-signs-174-billion-ai-infrastructure-deal-with-microsoft-shares-jump-2025-09-08/,5,5-year deal announced Sep 2025
Microsoft,CoreWeave,cloud_contract,2200000000,11000000000,https://www.tomshardware.com/tech-industry/artificial-intelligence/microsoft-inks-usd33-billion-in-deals-with-neoclouds-like-nebius-coreweave-nebius-deal-alone-secures-100-000-nvidia-gb300-chips-for-internal-use,4,Multi-year contract
Microsoft,Nvidia,hardware_purchase,7000000000,unknown,Industry estimates for Azure AI infrastructure,4,Annual GPU procurement for Azure AI services
Nvidia,OpenAI,hardware_sale,1500000000,unknown,Industry estimates,4,Direct GPU sales beyond cloud providers
Nvidia,OpenAI,equity_investment,0,100000000000,https://www.reuters.com/business/nvidia-invest-100-billion-openai-2025-09-22/,4,Commitment announced Sep 2025
Nvidia,CoreWeave,hardware_sale,2500000000,unknown,https://en.wikipedia.org/wiki/CoreWeave,4,Primary GPU supplier for CoreWeave cloud
Nvidia,Intel,equity_investment,0,5000000000,https://www.cnbc.com/2025/09/26/nvidias-investment-portfolio.html,4,Strategic investment
Nvidia,xAI,hardware_sale,4000000000,unknown,Colossus supercomputer buildout estimates,4,~100000 H100 GPUs at ~$40k each for Colossus
Nvidia,Nebius,hardware_sale,1500000000,unknown,Cloud infrastructure GPU procurement,4,Annual GPU purchases for AI cloud services
Nvidia,Mistral,hardware_sale,200000000,unknown,Industry estimates for AI model training,3,GPU purchases for LLM training
Nvidia,Figure_AI,hardware_sale,300000000,unknown,Industry estimates for robotics AI,3,GPU purchases for robotics training
Oracle,OpenAI,cloud_contract,1500000000,300000000000,https://business.thepilotnews.com/thepilotnews/article/marketminute-2025-10-16-ai-takes-center-stage-major-partnerships-and-cloud-deals-reshape-the-financial-landscape,3,Multi-year commitment; annual recognized portion estimated
Oracle,Nvidia,hardware_purchase,3500000000,unknown,OCI AI infrastructure buildout,4,Annual GPU procurement for Oracle Cloud Infrastructure
CoreWeave,OpenAI,cloud_services,2500000000,22400000000,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,4,Total contract value $22.4B; annual portion estimated
Nebius,Meta,cloud_contract,600000000,3000000000,https://www.reuters.com/technology/ai-cloud-firm-nebius-signs-3-billion-deal-with-meta-posts-more-than-four-fold-2025-11-11/,5,5-year deal announced Nov 2025; external to bubble
AMD,OpenAI,hardware_sale,unknown,unknown,https://thejoai.com/ai-news/amd-partners-openai-nvidia-sees-demand-microsoft-client-grows/,3,Partnership announced but amounts undisclosed
Intel,OpenAI,hardware_sale,unknown,unknown,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,3,Partnership announced but amounts undisclosed
OpenAI,Microsoft,cloud_services,2500000000,unknown,https://en.wikipedia.org/wiki/OpenAI,4,Azure cloud services for OpenAI infrastructure
OpenAI,Oracle,cloud_services,1500000000,unknown,https://business.thepilotnews.com/thepilotnews/article/marketminute-2025-10-16-ai-takes-center-stage-major-partnerships-and-cloud-deals-reshape-the-financial-landscape,3,OCI cloud services for OpenAI
OpenAI,CoreWeave,cloud_services,2500000000,unknown,https://www.thejoai.com/ai-news/intel-nvidia-openai-google-ai-investments-deals/,4,CoreWeave GPU cloud for OpenAI training
